AdmitTerm,School,Program,NationalStatus,AdmissionPathway,Enrolled,Retained

Fall 2016,School A,CTD,DOMESTIC,Direct Entry,199,172

Fall 2016,School A,CTD,DOMESTIC,Transfer,64,55

Fall 2016,School A,CTD,INTERNATIONAL,Direct Entry,10,9

Fall 2016,School A,CTD,INTERNATIONAL,Transfer,5,4

Fall 2016,School A,DIB,DOMESTIC,Direct Entry,26,21

Fall 2016,School A,DIB,DOMESTIC,Transfer,10,8

Fall 2016,School A,DIB,INTERNATIONAL,Direct Entry,5,3

Fall 2016,School A,DIB,INTERNATIONAL,Transfer,2,1

Fall 2016,School A,HBP,DOMESTIC,Direct Entry,398,318

Fall 2016,School A,HBP,DOMESTIC,Foundation,116,94

Fall 2016,School A,HBP,DOMESTIC,Transfer,48,34

Fall 2016,School A,HBP,INTERNATIONAL,Direct Entry,81,64

Fall 2016,School A,HBP,INTERNATIONAL,Foundation,18,14

Fall 2016,School A,HBP,INTERNATIONAL,Transfer,6,4

Fall 2016,School A,YDD,DOMESTIC,Direct Entry,24,21

Fall 2016,School A,YDD,DOMESTIC,Transfer,16,13

Fall 2016,School A,YDD,INTERNATIONAL,Direct Entry,5,3

Fall 2016,School A,YDD,INTERNATIONAL,Transfer,2,1

Fall 2016,School A,ZVS,DOMESTIC,Direct Entry,5,5

Fall 2016,School A,ZVS,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School B,AEX,DOMESTIC,Direct Entry,14,11

Fall 2016,School B,AEX,DOMESTIC,Transfer,7,6

Fall 2016,School B,AEX,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School B,CCH,DOMESTIC,Direct Entry,1,1

Fall 2016,School B,DLF,DOMESTIC,Direct Entry,53,50

Fall 2016,School B,DLF,DOMESTIC,Foundation,17,15

Fall 2016,School B,DLF,DOMESTIC,Transfer,4,3

Fall 2016,School B,DLF,INTERNATIONAL,Direct Entry,4,4

Fall 2016,School B,ENR,DOMESTIC,Direct Entry,20,16

Fall 2016,School B,ENR,DOMESTIC,Transfer,9,8

Fall 2016,School B,ENR,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School B,FJC,DOMESTIC,Direct Entry,16,12

Fall 2016,School B,FJC,DOMESTIC,Transfer,8,6

Fall 2016,School B,FJC,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School B,GIZ,DOMESTIC,Direct Entry,30,26

Fall 2016,School B,GIZ,DOMESTIC,Transfer,14,12

Fall 2016,School B,GIZ,INTERNATIONAL,Direct Entry,8,7

Fall 2016,School B,JQP,DOMESTIC,Direct Entry,68,58

Fall 2016,School B,JQP,DOMESTIC,Transfer,29,25

Fall 2016,School B,JQP,INTERNATIONAL,Direct Entry,4,3

Fall 2016,School B,NSU,DOMESTIC,Direct Entry,16,14

Fall 2016,School B,NSU,DOMESTIC,Transfer,6,5

Fall 2016,School B,NSU,INTERNATIONAL,Direct Entry,2,2

Fall 2016,School B,NSU,INTERNATIONAL,Transfer,2,1

Fall 2016,School B,UQU,DOMESTIC,Direct Entry,13,11

Fall 2016,School B,UQU,DOMESTIC,Transfer,9,8

Fall 2016,School B,UQU,INTERNATIONAL,Direct Entry,3,1

Fall 2016,School B,XEM,DOMESTIC,Direct Entry,48,42

Fall 2016,School B,XEM,DOMESTIC,Foundation,24,22

Fall 2016,School B,XEM,DOMESTIC,Transfer,4,3

Fall 2016,School B,XEM,INTERNATIONAL,Direct Entry,4,4

Fall 2016,School C,AFX,DOMESTIC,Direct Entry,37,28

Fall 2016,School C,AFX,DOMESTIC,Transfer,16,11

Fall 2016,School C,AFX,INTERNATIONAL,Direct Entry,4,3

Fall 2016,School C,CQK,DOMESTIC,Direct Entry,40,40

Fall 2016,School C,CQK,DOMESTIC,Foundation,12,12

Fall 2016,School C,CQK,DOMESTIC,Transfer,2,1

Fall 2016,School C,CQK,INTERNATIONAL,Direct Entry,3,3

Fall 2016,School C,CQK,INTERNATIONAL,Transfer,1,0

Fall 2016,School C,FOR,DOMESTIC,Direct Entry,47,40

Fall 2016,School C,FOR,DOMESTIC,Foundation,12,10

Fall 2016,School C,FOR,DOMESTIC,Transfer,3,2

Fall 2016,School C,FOR,INTERNATIONAL,Direct Entry,3,1

Fall 2016,School C,FOR,INTERNATIONAL,Transfer,2,1

Fall 2016,School C,HIQ,DOMESTIC,Direct Entry,17,16

Fall 2016,School C,HIQ,DOMESTIC,Transfer,6,5

Fall 2016,School C,HIQ,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School C,LBR,DOMESTIC,Direct Entry,22,18

Fall 2016,School C,LBR,DOMESTIC,Transfer,13,11

Fall 2016,School C,LBR,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School C,NOS,DOMESTIC,Direct Entry,27,21

Fall 2016,School C,NOS,DOMESTIC,Transfer,14,11

Fall 2016,School C,NOS,INTERNATIONAL,Direct Entry,2,2

Fall 2016,School C,NOS,INTERNATIONAL,Transfer,1,0

Fall 2016,School C,UVZ,DOMESTIC,Direct Entry,30,24

Fall 2016,School C,UVZ,DOMESTIC,Transfer,17,14

Fall 2016,School C,UVZ,INTERNATIONAL,Direct Entry,1,1

Fall 2016,School C,YXQ,DOMESTIC,Direct Entry,58,48

Fall 2016,School C,YXQ,DOMESTIC,Transfer,22,19

Fall 2016,School C,YXQ,INTERNATIONAL,Direct Entry,4,2

Fall 2016,School D,CMX,DOMESTIC,Direct Entry,20,19

Fall 2016,School D,CMX,DOMESTIC,Foundation,7,7

